town,age,job,married,education,arrears,housing,target
Chelmsford,46,entrepreneur,married,tertiary,no,no,yes
Poole,31,technician,single,tertiary,no,no,yes
Leeds,28,blue-collar,married,primary,no,yes,no
London,43,technician,divorced,secondary,no,yes,no
Worthing,37,admin.,single,tertiary,no,yes,yes
Leicester,56,unemployed,married,secondary,no,no,yes
Manchester,55,management,married,tertiary,no,no,no
Nottingham,36,management,married,tertiary,no,no,no
Bradford,37,blue-collar,divorced,secondary,no,yes,yes
Middlesbrough,53,unemployed,married,secondary,no,no,yes
Glasgow,42,entrepreneur,single,unknown,no,no,yes
Sunderland,33,services,married,secondary,no,yes,no
Hastings,39,entrepreneur,married,secondary,no,no,no
Southport,81,retired,divorced,primary,no,no,yes
Glasgow,57,housemaid,married,primary,no,no,no
Worthing,31,technician,married,secondary,no,yes,no
Woking,28,blue-collar,single,secondary,no,no,yes
Huddersfield,31,management,married,tertiary,no,yes,yes
Weston-super-Mare,35,admin.,single,secondary,no,no,no
Northampton,32,admin.,single,secondary,no,yes,no
Grimsby,33,services,married,secondary,no,yes,no
Glasgow,59,services,married,secondary,no,yes,no
Sutton Coldfield,33,blue-collar,married,secondary,no,no,no
Nuneaton,57,housemaid,divorced,primary,no,no,no
London,57,retired,divorced,tertiary,no,no,yes
Basildon,30,services,single,secondary,no,yes,no
Nottingham,28,student,single,tertiary,no,no,yes
Wigan,38,blue-collar,single,primary,no,yes,no
Southport,24,admin.,single,tertiary,no,yes,no
Basingstoke,41,blue-collar,married,secondary,no,yes,no
Blackburn,36,technician,single,secondary,no,yes,no
Plymouth,37,admin.,single,secondary,no,no,no
London,29,student,single,secondary,no,no,yes
Bath,51,admin.,single,secondary,no,no,yes
Crawley,38,management,single,tertiary,no,no,no
Watford,55,management,divorced,tertiary,no,no,yes
Liverpool,33,services,married,secondary,no,yes,no
Liverpool,25,admin.,married,unknown,no,yes,yes
London,25,management,single,tertiary,no,no,yes
London,53,blue-collar,married,unknown,no,no,yes
Bristol,49,technician,single,unknown,no,no,no
Solihull,59,technician,married,primary,no,no,yes
Bradford,40,technician,divorced,secondary,no,no,no
Reading,33,technician,married,tertiary,no,no,yes
Glasgow,37,management,married,tertiary,no,yes,yes
London,50,entrepreneur,married,primary,no,no,no
Bristol,29,services,single,secondary,no,no,no
London,33,admin.,single,tertiary,no,yes,yes
Birkenhead,31,technician,married,tertiary,no,no,yes
Sunderland,34,technician,single,secondary,no,yes,no
Sale,57,management,divorced,unknown,no,no,no
London,42,admin.,married,secondary,no,no,no
Bristol,53,unknown,married,unknown,no,no,no
Preston,37,technician,married,tertiary,no,no,yes
Barnsley,35,technician,single,secondary,no,yes,yes
Rochdale,28,blue-collar,single,secondary,no,yes,no
Lincoln,29,management,single,tertiary,no,no,no
Exeter,45,unknown,married,unknown,no,no,no
Bristol,33,technician,single,tertiary,no,no,yes
Swansea,56,retired,divorced,primary,no,no,yes
Leeds,33,management,single,tertiary,no,no,yes
Slough,31,blue-collar,single,secondary,no,yes,no
Bath,45,technician,single,secondary,no,yes,yes
Basildon,47,technician,divorced,secondary,no,no,no
Newport,34,blue-collar,single,secondary,no,no,yes
Bristol,45,services,married,primary,no,yes,no
London,38,blue-collar,married,primary,no,no,no
Southport,54,management,married,tertiary,no,no,no
Cheltenham,31,admin.,married,secondary,no,yes,no
Liverpool,53,blue-collar,married,secondary,no,no,no
Doncaster,55,blue-collar,divorced,secondary,no,no,no
Wakefield,74,retired,married,secondary,no,no,no
London,41,blue-collar,single,secondary,no,yes,no
Basingstoke,28,self-employed,married,secondary,no,no,yes
Worcester,33,technician,single,tertiary,no,yes,yes
Maidstone,47,blue-collar,married,secondary,no,no,no
Bradford,27,management,single,tertiary,no,yes,yes
Southport,32,management,married,tertiary,no,yes,no
Rotherham,34,self-employed,single,tertiary,no,no,yes
Preston,38,technician,married,secondary,no,no,yes
Birmingham,25,blue-collar,married,secondary,no,yes,yes
Bath,31,management,single,tertiary,no,no,no
Sutton Coldfield,55,services,married,secondary,no,yes,yes
Telford,28,management,single,secondary,no,no,yes
Oxford,41,entrepreneur,married,secondary,no,no,yes
London,55,management,married,unknown,no,no,yes
Cardiff,48,self-employed,married,secondary,no,no,no
Doncaster,43,management,married,tertiary,no,no,yes
Ipswich,41,services,married,primary,no,yes,no
Huddersfield,73,retired,married,unknown,no,no,yes
Aberdeen,23,services,single,secondary,no,no,yes
Derby,38,self-employed,married,secondary,no,yes,no
Gloucester,47,technician,married,tertiary,no,no,yes
Newport,46,technician,divorced,secondary,no,no,yes
Doncaster,46,services,married,tertiary,no,yes,no
High Wycombe,37,blue-collar,married,primary,no,yes,no
Bristol,43,unemployed,married,secondary,no,no,no
Kingston upon Hull,54,management,married,tertiary,no,no,no
Crawley,29,blue-collar,married,secondary,no,yes,no
London,54,blue-collar,divorced,secondary,no,no,no
Warrington,56,retired,married,tertiary,no,no,no
Basildon,48,services,divorced,primary,no,no,no
Colchester,32,admin.,single,tertiary,no,no,no
Bristol,56,admin.,married,secondary,no,no,yes
Bradford,22,student,single,secondary,no,no,yes
Birmingham,30,admin.,single,secondary,no,yes,no
Southampton,35,unemployed,married,secondary,no,no,yes
Southend-on-Sea,49,blue-collar,married,secondary,no,yes,no
Cheltenham,42,management,married,tertiary,no,no,yes
Manchester,31,entrepreneur,married,secondary,no,no,no
Ipswich,54,retired,divorced,primary,no,no,no
Newcastle upon Tyne,36,technician,married,secondary,no,yes,no
London,40,admin.,single,tertiary,no,yes,no
Birmingham,27,admin.,single,secondary,no,no,yes
Chester,24,blue-collar,single,secondary,no,yes,no
Plymouth,38,technician,divorced,tertiary,no,yes,no
St Helens,30,technician,single,tertiary,no,yes,no
Milton Keynes,42,services,single,unknown,no,no,no
London,38,technician,married,secondary,no,no,yes
Brighton,40,blue-collar,married,secondary,no,yes,no
Salford,58,management,married,secondary,no,no,yes
Telford,55,blue-collar,married,secondary,yes,no,no
Slough,45,management,divorced,tertiary,no,yes,no
County Down,28,student,single,tertiary,no,no,yes
Glasgow,48,blue-collar,married,secondary,no,yes,yes
Glasgow,43,management,single,tertiary,no,yes,yes
Middlesbrough,33,unknown,married,secondary,no,no,yes
Derby,34,technician,married,primary,no,no,no
Oxford,40,blue-collar,married,secondary,no,no,no
Manchester,51,technician,married,secondary,no,yes,no
Huddersfield,39,technician,single,secondary,no,no,no
Bedford,32,blue-collar,single,secondary,no,yes,no
Warrington,38,blue-collar,married,primary,no,yes,no
Milton Keynes,31,services,married,secondary,no,yes,no
Eastbourne,53,management,married,tertiary,no,no,yes
Darlington,32,blue-collar,married,primary,no,yes,no
Birmingham,46,blue-collar,married,secondary,no,yes,yes
Oldham,31,blue-collar,married,secondary,no,yes,no
Birkenhead,35,self-employed,single,primary,no,yes,no
Manchester,40,technician,married,secondary,no,yes,no
Belfast,43,technician,single,tertiary,no,yes,no
Birmingham,38,blue-collar,single,secondary,no,yes,no
London,33,blue-collar,married,primary,no,yes,no
Sale,46,self-employed,married,secondary,no,no,yes
Cardiff,43,services,married,primary,no,yes,yes
York,37,management,single,tertiary,no,no,no
Barnsley,38,housemaid,divorced,secondary,no,no,yes
Luton,47,blue-collar,married,secondary,no,yes,no
Wakefield,56,management,married,tertiary,no,yes,no
Manchester,40,blue-collar,married,primary,no,yes,no
Bath,40,self-employed,single,tertiary,no,yes,no
Liverpool,95,retired,divorced,primary,no,no,yes
Norwich,56,management,divorced,tertiary,no,no,no
Solihull,29,management,single,tertiary,no,no,yes
Worthing,22,student,single,secondary,no,no,yes
Rotherham,35,technician,single,tertiary,no,yes,no
Huddersfield,31,blue-collar,single,secondary,no,no,no
Glasgow,47,technician,married,secondary,no,no,no
Dundee,58,self-employed,married,tertiary,no,no,no
Slough,45,blue-collar,married,primary,no,no,no
High Wycombe,42,management,married,tertiary,no,no,yes
London,36,management,single,tertiary,no,yes,yes
Leeds,35,technician,divorced,secondary,no,yes,yes
Swindon,41,technician,married,tertiary,no,no,no
Bath,39,management,married,tertiary,no,no,no
Sunderland,28,technician,single,secondary,no,no,yes
Wigan,47,management,married,tertiary,no,no,no
Nuneaton,54,management,married,tertiary,no,yes,no
London,30,management,single,tertiary,no,yes,no
Blackburn,29,management,single,tertiary,no,yes,yes
Kingston upon Hull,42,technician,married,secondary,no,yes,no
Bedford,30,management,married,secondary,no,no,yes
London,46,technician,divorced,tertiary,no,no,yes
Weston-super-Mare,23,student,single,secondary,no,no,yes
Blackpool,20,student,single,secondary,no,no,yes
Cardiff,48,blue-collar,married,secondary,no,yes,yes
Norwich,28,unemployed,married,secondary,no,yes,no
Crawley,53,admin.,married,primary,no,yes,no
London,52,technician,married,secondary,no,no,yes
Glasgow,49,blue-collar,married,secondary,no,yes,yes
Poole,41,admin.,married,secondary,no,no,no
Halifax,56,technician,married,tertiary,no,no,no
Northampton,55,unemployed,married,primary,no,no,no
Northampton,47,technician,married,secondary,no,yes,no
Birmingham,26,blue-collar,single,secondary,yes,no,yes
Hartlepool,52,admin.,divorced,unknown,no,no,no
Nottingham,30,technician,married,secondary,no,no,yes
Chesterfield,32,technician,single,tertiary,no,yes,no
Poole,31,blue-collar,married,secondary,no,yes,yes
Glasgow,38,services,single,secondary,no,yes,yes
London,39,unemployed,single,secondary,no,yes,yes
London,34,services,single,secondary,no,yes,no
Eastbourne,27,management,single,tertiary,no,no,yes
Bedford,47,unemployed,married,secondary,yes,no,no
Telford,54,technician,divorced,secondary,no,yes,yes
Bristol,57,admin.,married,secondary,no,no,no
Plymouth,30,services,single,tertiary,no,no,no
Worthing,38,management,divorced,tertiary,no,yes,yes
Hemel Hempstead,36,admin.,divorced,secondary,no,no,yes
Norwich,22,blue-collar,single,secondary,no,yes,yes
Glasgow,34,blue-collar,single,secondary,no,no,no
Worthing,26,services,single,secondary,no,no,no
Sale,38,unemployed,married,primary,no,yes,yes
Barnsley,40,self-employed,married,secondary,no,no,no
Liverpool,44,entrepreneur,married,secondary,no,yes,no
Glasgow,66,retired,married,secondary,no,no,yes
Swindon,41,technician,divorced,secondary,no,no,no
Swindon,25,admin.,single,secondary,no,no,no
Blackpool,51,management,married,tertiary,no,no,no
Northampton,37,management,single,secondary,no,yes,yes
Sheffield,45,blue-collar,married,secondary,no,no,no
Leicester,45,management,married,tertiary,yes,yes,no
Birmingham,37,management,married,secondary,no,yes,yes
Northampton,74,retired,married,secondary,no,no,yes
Glasgow,64,retired,married,tertiary,no,no,yes
Worthing,38,management,married,tertiary,no,no,yes
County Down,27,blue-collar,married,primary,no,yes,yes
Belfast,31,services,single,secondary,no,yes,no
Cardiff,34,unemployed,married,secondary,no,no,yes
Cheltenham,39,services,divorced,secondary,no,yes,yes
Stoke-on-Trent,59,housemaid,married,tertiary,no,no,yes
Bristol,26,student,single,tertiary,no,no,yes
Weston-super-Mare,58,retired,married,primary,no,no,yes
Stoke-on-Trent,35,management,married,tertiary,no,yes,no
Bournemouth,25,services,single,secondary,no,yes,no
Liverpool,56,retired,married,primary,no,no,no
Bristol,35,technician,single,secondary,no,no,no
Blackpool,28,services,single,secondary,no,yes,no
Manchester,59,admin.,married,secondary,no,yes,no
Stoke-on-Trent,61,self-employed,divorced,tertiary,no,no,yes
Cambridge,52,services,divorced,secondary,no,yes,yes
Exeter,74,retired,married,secondary,no,no,yes
Swindon,47,technician,divorced,secondary,no,no,yes
Sheffield,33,technician,single,tertiary,no,yes,yes
High Wycombe,35,services,married,tertiary,no,no,no
Dundee,35,self-employed,single,tertiary,no,yes,no
Cambridge,67,retired,married,secondary,no,no,yes
Watford,55,blue-collar,married,primary,no,no,no
Telford,57,admin.,divorced,secondary,no,no,yes
Portsmouth,51,management,married,tertiary,no,no,no
Rochdale,33,technician,married,tertiary,no,no,yes
Glasgow,50,admin.,single,secondary,no,no,yes
Milton Keynes,32,blue-collar,married,secondary,yes,yes,no
Bolton,58,admin.,married,secondary,no,yes,yes
London,31,admin.,married,secondary,no,yes,yes
Sutton Coldfield,38,management,single,tertiary,no,yes,yes
Liverpool,70,retired,divorced,primary,no,no,yes
Glasgow,30,services,single,secondary,no,yes,no
Gateshead,35,entrepreneur,single,tertiary,no,yes,yes
Lincoln,47,technician,married,secondary,no,no,yes
Glasgow,41,management,divorced,tertiary,no,yes,no
Cardiff,39,management,married,tertiary,no,yes,yes
Cardiff,38,management,married,tertiary,no,no,yes
Cardiff,25,student,single,unknown,no,no,no
Solihull,23,management,single,tertiary,no,no,yes
Hartlepool,48,admin.,married,secondary,no,no,no
Chesterfield,56,technician,married,secondary,no,no,no
Worcester,36,management,married,tertiary,no,no,yes
Hartlepool,49,technician,married,tertiary,no,no,yes
Chesterfield,28,blue-collar,married,secondary,no,no,yes
Sutton Coldfield,56,services,married,secondary,no,yes,no
Worcester,29,blue-collar,married,secondary,no,yes,no
Birmingham,60,services,married,tertiary,no,yes,yes
Wolverhampton,36,housemaid,single,tertiary,no,no,no
Newcastle upon Tyne,60,retired,married,secondary,no,no,no
Glasgow,57,services,married,primary,no,yes,no
Crawley,41,blue-collar,married,primary,no,yes,no
Eastbourne,29,blue-collar,married,primary,no,yes,no
Hastings,76,housemaid,divorced,primary,no,no,yes
Glasgow,35,management,single,tertiary,no,yes,yes
Leeds,35,blue-collar,married,secondary,no,no,yes
Barnsley,50,blue-collar,divorced,secondary,no,yes,no
Leeds,41,entrepreneur,married,secondary,no,no,yes
Poole,37,services,single,primary,no,no,no
Nottingham,56,services,married,secondary,no,no,no
County Down,47,technician,married,tertiary,yes,yes,no
Leicester,42,housemaid,divorced,secondary,no,no,no
Maidstone,33,admin.,single,tertiary,no,no,no
Leeds,53,technician,married,secondary,no,no,yes
Preston,41,unemployed,single,tertiary,no,yes,no
Bristol,34,management,single,tertiary,no,no,yes
Bristol,37,technician,married,tertiary,no,yes,yes
Southampton,34,management,single,tertiary,no,yes,no
Bournemouth,51,housemaid,married,primary,no,no,no
Glasgow,44,blue-collar,single,secondary,no,yes,no
Wolverhampton,31,services,married,secondary,no,yes,no
Liverpool,40,blue-collar,married,primary,no,no,no
Raleigh,36,management,single,tertiary,no,no,no
Kingston upon Hull,33,management,divorced,tertiary,no,no,yes
London,34,blue-collar,married,secondary,no,yes,no
Birmingham,33,admin.,single,secondary,no,no,no
Manchester,42,unemployed,married,secondary,no,yes,yes
Birmingham,35,management,single,tertiary,no,yes,no
Rochdale,28,admin.,married,tertiary,no,yes,no
Manchester,52,services,married,secondary,no,no,no
Bolton,48,housemaid,married,tertiary,no,no,yes
Preston,42,management,single,tertiary,no,no,yes
Gloucester,28,blue-collar,single,secondary,no,yes,yes
Nottingham,36,management,single,tertiary,no,yes,no
Birmingham,32,technician,single,tertiary,no,no,yes
Derby,30,technician,married,tertiary,no,yes,no
Birkenhead,31,blue-collar,married,secondary,no,yes,yes
Birmingham,49,management,married,secondary,no,yes,yes
Barnsley,53,self-employed,married,tertiary,no,yes,no
Rotherham,57,retired,married,primary,no,no,no
Birmingham,45,blue-collar,divorced,secondary,no,yes,yes
Chelmsford,47,technician,married,secondary,no,yes,no
Gateshead,63,housemaid,married,secondary,no,no,no
London,55,services,single,secondary,no,no,no
Southend-on-Sea,42,admin.,married,primary,no,yes,yes
Nottingham,46,unemployed,married,secondary,no,no,no
Glasgow,37,unemployed,married,secondary,no,no,no
Liverpool,35,management,married,unknown,no,yes,no
Grimsby,42,entrepreneur,married,secondary,no,no,no
Manchester,49,management,divorced,tertiary,no,yes,no
Aberdeen,27,technician,single,tertiary,no,yes,yes
Blackpool,45,entrepreneur,married,secondary,no,no,no
Exeter,24,blue-collar,single,secondary,no,no,yes
Colchester,51,blue-collar,married,primary,no,no,yes
Sutton Coldfield,40,unemployed,married,secondary,no,yes,no
Blackburn,48,blue-collar,married,secondary,no,no,no
Warrington,41,technician,married,secondary,no,no,no
Solihull,40,management,married,tertiary,no,yes,no
Leeds,26,management,single,tertiary,no,no,yes
Reading,58,self-employed,married,tertiary,no,no,no
Barnsley,31,blue-collar,divorced,secondary,no,yes,yes
London,35,management,divorced,tertiary,no,yes,no
Bristol,33,management,married,tertiary,no,no,yes
Manchester,27,technician,single,secondary,no,yes,no
York,50,management,married,tertiary,no,no,yes
Manchester,45,blue-collar,single,tertiary,no,no,no
Stockport,36,technician,married,secondary,no,no,yes
Stockport,27,student,married,secondary,no,yes,yes
Birmingham,56,technician,single,secondary,no,yes,no
Worthing,24,blue-collar,single,secondary,no,yes,no
St Albans,39,management,divorced,tertiary,no,no,yes
Doncaster,35,technician,married,secondary,no,no,no
Bolton,58,admin.,married,primary,no,yes,no
Brighton,28,management,single,tertiary,no,yes,no
Leicester,33,admin.,married,secondary,no,yes,yes
Bristol,32,management,married,tertiary,no,yes,yes
Cheltenham,35,technician,married,tertiary,no,no,no
Liverpool,39,management,divorced,tertiary,no,no,no
Wigan,18,student,single,unknown,no,no,yes
St Helens,60,self-employed,married,tertiary,no,no,yes
Southampton,34,admin.,married,secondary,no,yes,no
Luton,48,blue-collar,married,secondary,no,yes,no
Newport,47,entrepreneur,married,tertiary,no,no,yes
Norwich,37,admin.,married,secondary,no,no,yes
Sunderland,58,retired,married,secondary,no,no,no
Birmingham,55,admin.,divorced,secondary,no,no,no
Kingston upon Hull,36,unemployed,single,secondary,no,no,no
St Helens,59,admin.,married,secondary,no,yes,yes
Plymouth,45,management,married,primary,no,yes,no
Brighton,53,management,single,tertiary,no,yes,no
Hastings,34,services,married,secondary,no,no,yes
Solihull,43,blue-collar,single,primary,no,no,no
Oldham,84,entrepreneur,married,secondary,no,no,yes
Bolton,58,blue-collar,married,secondary,no,yes,yes
Lincoln,40,management,married,tertiary,no,yes,yes
Gateshead,42,technician,married,secondary,no,yes,yes
London,44,unemployed,married,secondary,yes,yes,no
Dundee,35,blue-collar,single,primary,no,yes,no
Manchester,40,management,single,tertiary,no,no,yes
Plymouth,38,management,married,tertiary,no,no,yes
London,41,self-employed,single,unknown,no,yes,no
Swindon,44,management,married,tertiary,no,no,no
Aberdeen,31,blue-collar,married,secondary,no,yes,yes
Birmingham,33,services,divorced,secondary,no,no,yes
Liverpool,31,services,single,secondary,no,no,yes
Plymouth,43,blue-collar,married,primary,no,no,yes
Middlesbrough,40,admin.,married,secondary,no,no,no
High Wycombe,35,blue-collar,married,secondary,no,yes,no
Leicester,44,blue-collar,single,secondary,no,yes,no
Worcester,35,unemployed,married,secondary,no,no,yes
Blackpool,56,management,married,tertiary,no,no,yes
London,37,blue-collar,married,secondary,no,yes,no
Nuneaton,32,blue-collar,single,primary,no,yes,no
Maidstone,43,technician,married,secondary,no,yes,yes
Middlesbrough,68,retired,married,secondary,no,yes,yes
Sutton Coldfield,32,management,married,tertiary,no,no,no
Worthing,25,self-employed,single,tertiary,no,yes,yes
Nuneaton,57,services,divorced,primary,no,yes,no
London,55,management,married,unknown,no,yes,yes
Bolton,56,housemaid,divorced,primary,no,no,no
Glasgow,56,admin.,divorced,primary,no,no,no
Edinburgh,32,services,single,secondary,no,no,no
Southport,40,unemployed,married,secondary,no,yes,no
Liverpool,40,services,divorced,secondary,no,yes,yes
Telford,52,technician,married,secondary,no,yes,yes
Bristol,44,technician,married,secondary,no,yes,yes
Plymouth,69,retired,married,primary,no,no,no
Bristol,31,management,single,tertiary,no,yes,no
Kingston upon Hull,46,admin.,divorced,secondary,no,yes,no
Liverpool,37,entrepreneur,married,tertiary,yes,yes,no
Glasgow,55,management,single,tertiary,no,no,no
Nuneaton,30,management,single,tertiary,no,yes,no
Gillingham,35,services,single,tertiary,no,no,yes
High Wycombe,37,blue-collar,married,secondary,no,no,yes
Sale,57,retired,married,primary,no,no,no
Gloucester,56,admin.,married,secondary,no,no,no
Newcastle upon Tyne,31,student,single,secondary,no,no,no
Weston-super-Mare,58,retired,married,secondary,no,no,no
Swindon,47,blue-collar,married,primary,no,yes,no
Kingston upon Hull,44,blue-collar,married,secondary,no,yes,no
Chelmsford,44,housemaid,married,secondary,no,yes,no
Milton Keynes,46,management,married,secondary,no,no,yes
Liverpool,51,management,married,tertiary,no,no,yes
Rotherham,37,management,single,tertiary,no,yes,no
Glasgow,59,technician,married,secondary,no,no,yes
Bournemouth,44,technician,married,tertiary,no,yes,no
Plymouth,26,admin.,single,secondary,no,yes,no
Gloucester,32,management,married,tertiary,no,yes,no
Poole,35,management,single,tertiary,no,yes,yes
Nuneaton,26,blue-collar,single,secondary,no,yes,yes
Solihull,34,technician,single,tertiary,no,yes,no
Watford,28,technician,single,secondary,no,yes,yes
Derby,35,technician,single,tertiary,no,yes,no
Portsmouth,40,blue-collar,married,secondary,no,yes,yes
Bristol,37,blue-collar,married,secondary,no,no,yes
Birmingham,45,blue-collar,single,secondary,no,no,yes
Nuneaton,38,admin.,single,unknown,no,yes,no
Bolton,79,retired,married,secondary,no,no,yes
London,53,services,married,primary,no,yes,no
Nuneaton,24,student,single,secondary,no,no,yes
Aberdeen,37,management,married,tertiary,no,no,no
Sheffield,50,admin.,married,secondary,no,yes,no
London,53,technician,married,secondary,no,no,no
Glasgow,33,blue-collar,married,secondary,no,yes,no
Milton Keynes,29,blue-collar,married,primary,no,yes,no
Ipswich,42,management,married,tertiary,no,no,yes
Birmingham,33,management,married,tertiary,no,no,no
Newcastle upon Tyne,48,admin.,married,secondary,no,no,yes
Liverpool,41,blue-collar,married,primary,no,no,yes
St Albans,46,entrepreneur,divorced,secondary,no,no,yes
Exeter,45,management,divorced,secondary,no,yes,no
Salford,36,management,married,tertiary,no,yes,no
Bedford,72,retired,married,unknown,no,no,yes
Wigan,44,blue-collar,single,primary,no,no,no
Southend-on-Sea,32,management,single,tertiary,no,no,yes
Stoke-on-Trent,31,entrepreneur,single,tertiary,yes,yes,yes
Southampton,53,technician,married,secondary,no,no,no
Dundee,27,admin.,single,secondary,no,no,yes
London,30,admin.,married,secondary,no,yes,yes
Norwich,29,blue-collar,single,tertiary,no,no,yes
Rotherham,48,blue-collar,married,primary,no,yes,no
Glasgow,36,blue-collar,married,secondary,no,yes,yes
Blackburn,26,student,single,tertiary,no,no,no
Hemel Hempstead,35,blue-collar,married,tertiary,no,no,yes
Rochdale,51,management,married,tertiary,no,yes,yes
Rochdale,49,management,married,secondary,no,yes,no
Huddersfield,33,technician,married,secondary,no,yes,yes
Dundee,33,technician,single,secondary,no,no,yes
Stockport,45,unemployed,divorced,secondary,no,yes,yes
Exeter,44,entrepreneur,married,tertiary,no,no,yes
Hartlepool,46,blue-collar,married,secondary,no,yes,no
Bristol,29,unemployed,single,primary,no,no,yes
Maidstone,41,entrepreneur,married,primary,no,no,no
London,47,housemaid,divorced,secondary,no,no,no
London,41,services,married,unknown,no,yes,no
St Helens,55,management,married,tertiary,no,yes,no
Blackburn,46,management,single,secondary,no,yes,no
Barnsley,48,management,divorced,tertiary,no,yes,yes
Ipswich,35,self-employed,single,tertiary,no,no,no
Southport,49,technician,divorced,secondary,no,yes,no
Manchester,40,management,married,tertiary,no,no,no
Portsmouth,45,blue-collar,married,secondary,no,no,yes
Swansea,40,services,divorced,secondary,no,no,no
Manchester,35,self-employed,divorced,secondary,no,no,no
Hartlepool,45,blue-collar,divorced,primary,no,no,yes
Lincoln,47,blue-collar,married,secondary,no,yes,no
Grimsby,30,blue-collar,single,secondary,no,no,yes
Norwich,74,retired,divorced,primary,no,no,yes
Birmingham,27,blue-collar,single,secondary,yes,no,yes
Glasgow,40,self-employed,married,secondary,no,yes,no
Bristol,45,admin.,married,secondary,no,yes,yes
Huddersfield,50,technician,divorced,secondary,no,yes,yes
Liverpool,34,management,single,tertiary,no,no,yes
Northampton,51,entrepreneur,married,primary,no,yes,no
St Helens,48,management,married,secondary,no,yes,yes
Exeter,29,technician,single,tertiary,no,no,yes
Liverpool,37,management,married,tertiary,no,no,yes
Gateshead,30,technician,single,secondary,no,yes,no
Portsmouth,37,management,married,tertiary,no,yes,yes
Wakefield,35,blue-collar,married,primary,no,yes,no
Stoke-on-Trent,60,retired,married,tertiary,no,yes,no
Bournemouth,46,admin.,single,unknown,no,yes,no
Cheltenham,26,unemployed,single,secondary,no,no,yes
Sheffield,27,admin.,single,tertiary,no,yes,no
Wakefield,43,management,married,tertiary,no,yes,no
London,35,technician,single,tertiary,no,no,yes
Bristol,43,management,married,tertiary,no,no,yes
Cheltenham,42,unemployed,married,tertiary,no,no,yes
Portsmouth,41,technician,divorced,secondary,no,no,no
Birmingham,41,unemployed,married,tertiary,no,no,yes
Hemel Hempstead,50,blue-collar,divorced,primary,no,no,no
Glasgow,52,blue-collar,single,secondary,no,yes,no
Exeter,32,management,single,tertiary,no,yes,no
Worthing,42,management,married,tertiary,no,yes,no
Birmingham,33,blue-collar,single,secondary,no,yes,yes
Ipswich,34,technician,single,secondary,yes,yes,no
Wolverhampton,25,student,single,unknown,no,no,yes
Hastings,56,technician,married,secondary,no,yes,no
Basildon,39,housemaid,married,primary,no,no,no
Birmingham,58,retired,divorced,primary,no,yes,yes
Salford,42,admin.,married,primary,no,no,no
Bristol,39,blue-collar,divorced,primary,no,no,no
Plymouth,35,admin.,married,secondary,no,yes,yes
Bath,31,unemployed,single,secondary,no,yes,yes
Colchester,38,services,single,primary,no,yes,no
Gillingham,38,technician,divorced,secondary,no,yes,no
Bristol,53,technician,married,tertiary,no,no,no
Nottingham,35,unemployed,married,secondary,no,no,no
Halifax,37,technician,single,secondary,no,no,yes
Blackburn,56,blue-collar,married,primary,no,yes,no
London,49,admin.,single,secondary,no,yes,yes
Oxford,59,self-employed,married,tertiary,no,no,yes
Oxford,32,blue-collar,married,primary,no,yes,no
St Helens,45,blue-collar,married,primary,no,yes,no
Slough,47,technician,divorced,secondary,no,no,no
Wakefield,34,self-employed,single,tertiary,no,no,yes
Darlington,32,management,divorced,tertiary,no,no,no
Cardiff,30,blue-collar,married,secondary,no,yes,no
County Down,49,services,married,tertiary,no,yes,no
Manchester,31,student,single,secondary,no,no,yes
Sunderland,36,admin.,married,secondary,no,yes,no
Worthing,39,management,married,tertiary,no,no,yes
Dundee,52,management,married,tertiary,no,yes,yes
Kingston upon Hull,37,management,married,tertiary,no,no,yes
Liverpool,60,housemaid,married,primary,no,no,no
Exeter,35,services,married,secondary,no,yes,no
Plymouth,33,technician,married,secondary,no,yes,yes
Swindon,69,retired,married,primary,no,no,yes
Sheffield,60,management,married,tertiary,no,no,no
Cheltenham,51,retired,married,tertiary,no,no,yes
Colchester,40,blue-collar,married,primary,yes,yes,no
Glasgow,32,services,married,secondary,no,no,no
London,54,technician,married,secondary,no,no,yes
Middlesbrough,29,technician,single,secondary,yes,yes,no
Wakefield,26,technician,single,tertiary,no,no,yes
York,30,self-employed,single,secondary,no,no,no
Cheltenham,31,blue-collar,married,secondary,no,yes,yes
Basingstoke,42,unemployed,married,secondary,no,no,yes
Eastbourne,46,management,married,primary,no,yes,yes
Cheltenham,39,technician,single,tertiary,no,no,yes
Chelmsford,53,services,divorced,secondary,no,yes,yes
Leeds,28,student,single,secondary,no,yes,no
St Helens,59,management,married,tertiary,no,no,yes
Basingstoke,33,management,married,tertiary,no,yes,yes
Woking,44,management,married,tertiary,no,yes,no
London,55,retired,married,secondary,no,yes,yes
Barnsley,33,management,married,tertiary,no,yes,no
Manchester,45,unknown,married,tertiary,no,no,yes
Chester,35,admin.,divorced,secondary,no,no,yes
Glasgow,61,retired,married,secondary,no,no,yes
Manchester,30,blue-collar,single,secondary,no,no,no
Rotherham,39,technician,divorced,secondary,no,yes,no
Swindon,42,admin.,single,secondary,no,yes,no
London,59,unknown,divorced,unknown,no,no,no
Bristol,40,housemaid,married,secondary,no,yes,no
Basingstoke,40,technician,married,secondary,no,no,no
Sheffield,26,technician,single,secondary,no,no,yes
St Helens,56,retired,divorced,tertiary,no,no,yes
High Wycombe,32,self-employed,divorced,tertiary,no,no,yes
Slough,37,management,married,tertiary,no,no,no
